Sample;Treatment;Replicate;Time;Name
319;-420;11;t2;-420_11_R1
320;-420;12;t2;-420_12_R1
641;-33;1;t0;-33_1_R1
642;-33;2;t0;-33_2_R1
643;-61;1;t0;-61_1_R1
644;-61;2;t0;-61_2_R1
645;-68;1;t0;-68_1_R1
646;-68;2;t0;-68_2_R1
647;-83;1;t0;-83_1_R1
648;-83;2;t0;-83_2_R1
649;-86;1;t0;-86_1_R1
650;-86;2;t0;-86_2_R1
651;-88;1;t0;-88_1_R1
652;-88;2;t0;-88_2_R1
653;-90;1;t0;-90_1_R1
654;-90;2;t0;-90_2_R1
655;-145;1;t0;-145_1_R1
656;-145;2;t0;-145_2_R1
657;-160;1;t0;-160_1_R1
658;-160;2;t0;-160_2_R1
659;-203;1;t0;-203_1_R1
660;-203;2;t0;-203_2_R1
661;-231;1;t0;-231_1_R1
662;-231;2;t0;-231_2_R1
663;-233;1;t0;-233_1_R1
664;-233;2;t0;-233_2_R1
665;-262;1;t0;-262_1_R1
666;-262;2;t0;-262_2_R1
667;-265;1;t0;-265_1_R1
668;-265;2;t0;-265_2_R1
669;-285;1;t0;-285_1_R1
670;-285;2;t0;-285_2_R1
671;-288;1;t0;-288_1_R1
672;-288;2;t0;-288_2_R1
673;-289;1;t0;-289_1_R1
674;-289;2;t0;-289_2_R1
675;-334;1;t0;-334_1_R1
676;-334;2;t0;-334_2_R1
677;-344;1;t0;-344_1_R1
678;-344;2;t0;-344_2_R1
679;-359;1;t0;-359_1_R1
680;-359;2;t0;-359_2_R1
681;-371;1;t0;-371_1_R1
682;-371;2;t0;-371_2_R1
683;-391;1;t0;-391_1_R1
684;-391;2;t0;-391_2_R1
685;-405;1;t0;-405_1_R1
686;-405;2;t0;-405_2_R1
687;-416;1;t0;-416_1_R1
688;-416;2;t0;-416_2_R1
689;-420;1;t0;-420_1_R1
690;-420;2;t0;-420_2_R1
691;ALL;1;t0;ALL_1_R1
692;ALL;2;t0;ALL_2_R1
693;CORE;1;t0;CORE_1_R1
694;CORE;2;t0;CORE_2_R1
