Sample;Treatment;Spray;Replicate;Time;Name
135;No P;U;7;t1;No P_U_7_t1
136;No P;U;8;t1;No P_U_8_t1
137;No P;Mg;1;t1;No P_Mg_1_t1
138;No P;Mg;2;t1;No P_Mg_2_t1
139;No P;Mg;3;t1;No P_Mg_3_t1
140;No P;Mg;4;t1;No P_Mg_4_t1
141;No P;Mg;5;t1;No P_Mg_5_t1
142;No P;Mg;6;t1;No P_Mg_6_t1
143;No P;Mg;7;t1;No P_Mg_7_t1
144;No P;Mg;8;t1;No P_Mg_8_t1
145;No P;P;1;t1;No P_P_1_t1
146;No P;P;2;t1;No P_P_2_t1
147;No P;P;4;t1;No P_P_4_t1
149;No P;P;5;t1;No P_P_5_t1
150;No P;P;6;t1;No P_P_6_t1
151;No P;P;7;t1;No P_P_7_t1
152;No P;P;8;t1;No P_P_8_t1
153;No P;P;9;t1;No P_P_9_t1
154;No P;P;10;t1;No P_P_10_t1
155;No P;P;11;t1;No P_P_11_t1
156;No P;P;12;t1;No P_P_12_t1
157;No P;P;13;t1;No P_P_13_t1
158;No P;P;14;t1;No P_P_14_t1
159;No P;P;15;t1;No P_P_15_t1
160;No P;P;16;t1;No P_P_16_t1
161;Ax;Mg;1;t2;Ax_Mg_1_t2
162;Ax;Mg;2;t2;Ax_Mg_2_t2
163;Ax;Mg;3;t2;Ax_Mg_3_t2
164;Ax;Mg;4;t2;Ax_Mg_4_t2
165;Ax;Mg;5;t2;Ax_Mg_5_t2
166;Ax;Mg;6;t2;Ax_Mg_6_t2
167;Ax;Mg;7;t2;Ax_Mg_7_t2
168;Ax;Mg;8;t2;Ax_Mg_8_t2
169;ALL;Mg;1;t2;ALL_Mg_1_t2
170;ALL;Mg;2;t2;ALL_Mg_2_t2
171;ALL;Mg;3;t2;ALL_Mg_3_t2
172;ALL;Mg;4;t2;ALL_Mg_4_t2
173;ALL;Mg;5;t2;ALL_Mg_5_t2
174;ALL;Mg;6;t2;ALL_Mg_6_t2
175;ALL;Mg;7;t2;ALL_Mg_7_t2
176;ALL;Mg;8;t2;ALL_Mg_8_t2
177;ALL;Mg;9;t2;ALL_Mg_9_t2
178;ALL;Mg;10;t2;ALL_Mg_10_t2
179;ALL;Mg;11;t2;ALL_Mg_11_t2
180;ALL;Mg;12;t2;ALL_Mg_12_t2
181;ALL;Mg;13;t2;ALL_Mg_13_t2
182;ALL;Mg;14;t2;ALL_Mg_14_t2
183;ALL;Mg;15;t2;ALL_Mg_15_t2
184;ALL;Mg;16;t2;ALL_Mg_16_t2
185;ALL;Mg;17;t2;ALL_Mg_17_t2
186;ALL;Mg;18;t2;ALL_Mg_18_t2
187;ALL;Mg;19;t2;ALL_Mg_19_t2
188;ALL;Mg;20;t2;ALL_Mg_20_t2
189;ALL;Mg;21;t2;ALL_Mg_21_t2
190;ALL;Mg;22;t2;ALL_Mg_22_t2
191;ALL;Mg;23;t2;ALL_Mg_23_t2
192;ALL;Mg;24;t2;ALL_Mg_24_t2
193;No A;Mg;1;t2;No A_Mg_1_t2
194;No A;Mg;2;t2;No A_Mg_2_t2
195;No A;Mg;3;t2;No A_Mg_3_t2
196;No A;Mg;4;t2;No A_Mg_4_t2
197;No A;Mg;5;t2;No A_Mg_5_t2
198;No A;Mg;6;t2;No A_Mg_6_t2
199;No A;Mg;7;t2;No A_Mg_7_t2
200;No A;Mg;8;t2;No A_Mg_8_t2
201;No A;Mg;9;t2;No A_Mg_9_t2
202;No A;Mg;10;t2;No A_Mg_10_t2
203;No A;Mg;11;t2;No A_Mg_11_t2
204;No A;Mg;12;t2;No A_Mg_12_t2
205;No A;Mg;13;t2;No A_Mg_13_t2
206;No A;Mg;14;t2;No A_Mg_14_t2
